first,second,third
clear,very,top
assault,exceedingly,round
bracing,very,brisk
distinguish,completely,separated
pay,very,clear
pose,very,tidy
engage,really,closed
enigmatical,very,puzzling
let,have,hugely
affectionate,very,fond
birth,have,hugely
delirious,really,frantic
rebut,very,striking
blue,too,dark
mate,have,hugely
piercing,very,sharp
scupper,very,queer
exploit,quite,used
produce,have,hugely
justify,quite,frank
frigid,very,cold
recent,too,late
placid,still,highly
crown,very,top
fearful,very,dreaded
palmy,very,prosperous
moody,too,dark
penetrate,very,bottom
overcome,very,best
toss,really,abandoned
curb,still,highly
border,edge,completely
fold,really,closed
work,completely,possessing
manage,have,hugely
unquiet,very,nervous
discover,found,exceedingly
go,done,extremely
majestic,very,lofty
bid,too,tender
disposed,too,apt
eat,completely,filling
rise,extremely,well
miraculous,really,marvellous
promise,highly,enlightened
slip,hugely,mistaken
free,very,clear
settle,very,clear
glad,very,happy
adjust,too,true
